"weight","NaCl.0.percent","NaCl.0.9.percent","NaCl.2.percent","NaCl.5.percent"
"percent-change",NA,NA,NA,NA
"minimum-value",NA,NA,NA,NA
"maximum-value",NA,NA,NA,NA
"difference",NA,NA,NA,NA
